location,star,name,competitors,counts
北京,3,富驿时尚酒店(北京燕莎使馆区店),7天连锁酒店(北京西站北广场店),1
北京,4,时光漫步S酒店(北京央视店),,
北京,5,北京首都宾馆,"全季酒店(北京八一电影制片厂店),秋果S1918庭院式酒店(北京天安门店),维也纳3好酒店(北京昌平沙河地铁站店),北京金陵饭店,格林豪泰智选酒店(北京八达岭长城康庄店),派酒店(北京沙河地铁站店),北京宝辰饭店,北京南站亚朵酒店,北京天坛亚朵轻居酒店,北京天通苑立水桥地铁站轻居酒店","3,2,1,1,1,1,1,1,1,1"
北京,4,秋果酒店(北京十里河地铁站店),"北京石景山游乐园希尔顿欢朋酒店,锦江之星(北京珠市口店),如家酒店(北京传媒大学西门店),北京南站亚朵酒店,Parkside Inn 帕格森蒂·悦居酒店,全季酒店(北京八一电影制片厂店),7天连锁酒店(北京西站北广场店),汉庭酒店(北京良乡大学城店),北京天通苑立水桥地铁站轻居酒店","2,1,1,1,1,1,1,1,1"
北京,5,北京丽景湾国际酒店,"如家酒店(北京传媒大学西门店),维也纳3好酒店(北京昌平沙河地铁站店)","3,1"
北京,2,格林豪泰(北京市首都机场第二店),"格林豪泰酒店(北京方庄店),锦江之星(北京珠市口店),秋果酒店(北京新国展首都机场店),汉庭酒店(北京良乡大学城店),汉庭优佳酒店(北京酒仙桥朝阳站店),北京南站亚朵酒店,7天连锁酒店(北京西站北广场店)","7,2,2,1,1,1,1"
北京,5,北京国际艺苑皇冠假日酒店,"漫心北京天安门王府井酒店,派酒店(北京沙河地铁站店),如家酒店(北京传媒大学西门店),锦江之星(北京珠市口店),汉庭酒店(北京良乡大学城店)","1,1,1,1,1"
北京,2,北京广安门乐家优品酒店,,
北京,3,桔子酒店(北京亚运村鸟巢店),"桔子水晶北京前门酒店,7天连锁酒店(北京西站北广场店)","1,1"
北京,5,JEN北京新国贸饭店,"北京瑰丽酒店,北京南站亚朵酒店,桔子酒店(北京三里屯太古里店),如家酒店(北京传媒大学西门店),全季酒店(北京八一电影制片厂店),派酒店(北京沙河地铁站店),7天连锁酒店(北京西站北广场店),北京石景山游乐园希尔顿欢朋酒店,汉庭酒店(北京良乡大学城店)","5,3,3,2,2,1,1,1,1"
北京,3,希岸酒店(北京欢乐谷小红门地铁站店),"桔子水晶北京前门酒店,桔子酒店(北京三里屯太古里店),喆啡酒店(北京传媒大学双桥地铁站万达广场店)","1,1,1"
北京,5,北京昆泰酒店,如家酒店(北京传媒大学西门店),1
北京,4,北京金地来商务会馆,,
北京,4,秋果酒店(北京三里屯国展店),全季酒店(北京八一电影制片厂店),1
北京,3,北京美朋轻奢酒店,"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店)","1,1"
北京,4,映向城酒店(北京通州万达广场店),"全季酒店(北京八一电影制片厂店),7天连锁酒店(北京西站北广场店),北京和平里旅居酒店,如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),北京南站亚朵酒店","2,1,1,1,1,1"
北京,3,麗枫酒店(北京房山丰源大厦城关地铁站店),北京石景山游乐园希尔顿欢朋酒店,1
北京,3,麗枫酒店(北京酒仙桥朝阳高铁站店),"汉庭酒店(北京良乡大学城店),汉庭优佳酒店(北京酒仙桥朝阳站店)","2,1"
北京,3,时光漫步怀旧主题酒店(北京三里屯地坛国展中心店),"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),桔子酒店(北京三里屯太古里店),锦江之星(北京珠市口店)","5,5,2,1"
北京,5,北京万达文华酒店,"如家酒店(北京传媒大学西门店),北京丽晶酒店","2,1"
北京,4,桔子酒店(北京亦庄桥地铁站店),"如家酒店(北京传媒大学西门店),北京南站亚朵酒店,北京和平里旅居酒店","1,1,1"
北京,2,艾瑞酒店(北京华北电力大学店),"格林豪泰(北京市首都机场第二店),如家酒店(北京传媒大学西门店),速8酒店(北京方庄地铁站店)","1,1,1"
北京,3,全季酒店(北京建国门白桥大街店),"如家酒店(北京传媒大学西门店),桔子酒店(北京三里屯太古里店),锦江之星(北京珠市口店),北京和平里旅居酒店","2,1,1,1"
北京,3,北京和平里宾馆,"7天连锁酒店(北京西站北广场店),如家酒店(北京传媒大学西门店),桔子水晶北京安贞酒店,秋果S1918庭院式酒店(北京天安门店),汉庭酒店(北京良乡大学城店)","6,2,1,1,1"
北京,4,北京天安门广场CitiGO欢阁酒店,"格雅酒店(北京通州环球梨园店),全季酒店(北京八一电影制片厂店)","10,3"
北京,4,北京MEETOUR遇酒店,"汉庭酒店(北京良乡大学城店),格雅酒店(北京通州环球梨园店),如家酒店(北京传媒大学西门店),全季酒店(北京八一电影制片厂店)","2,1,1,1"
北京,4,北京大方饭店,"全季酒店(北京八一电影制片厂店),白玉兰酒店(北京西客站店),汉庭酒店(北京良乡大学城店),如家酒店(北京传媒大学西门店),7天连锁酒店(北京西站北广场店)","12,3,2,2,1"
