location,star,name,competitors,counts
北京,3,富驿时尚酒店(北京燕莎使馆区店),7天,1
北京,4,时光漫步S酒店(北京央视店),,
北京,5,北京首都宾馆,"庭院式,全季,维也纳,金陵饭店,智选,派酒店,宝辰饭店,亚朵,亚朵轻居,轻居,全季酒店","2,2,1,1,1,1,1,1,1,1,1"
北京,4,秋果酒店(北京十里河地铁站店),"希尔顿,锦江之星,如家,亚朵,Inn,全季,7天,汉庭,轻居","2,1,1,1,1,1,1,1,1"
北京,5,北京丽景湾国际酒店,"如家,维也纳","3,1"
北京,2,格林豪泰(北京市首都机场第二店),"格林豪泰酒店,锦江之星,秋果,汉庭,汉庭优佳,亚朵,7天","7,2,2,1,1,1,1"
北京,5,北京国际艺苑皇冠假日酒店,"漫心,派酒店,如家,锦江之星,汉庭","1,1,1,1,1"
北京,2,北京广安门乐家优品酒店,,
北京,3,桔子酒店(北京亚运村鸟巢店),"桔子水晶,7天","1,1"
北京,5,JEN北京新国贸饭店,"瑰丽,亚朵,如家,桔子,桔子酒店,派酒店,7天,希尔顿,汉庭,全季酒店,全季","5,3,2,2,1,1,1,1,1,1,1"
北京,3,希岸酒店(北京欢乐谷小红门地铁站店),"桔子水晶,桔子,喆啡","1,1,1"
北京,5,北京昆泰酒店,如家,1
北京,4,北京金地来商务会馆,,
北京,4,秋果酒店(北京三里屯国展店),全季,1
北京,3,北京美朋轻奢酒店,"如家,汉庭","1,1"
北京,4,映向城酒店(北京通州万达广场店),"全季,7天,旅居,如家,汉庭,亚朵","2,1,1,1,1,1"
北京,3,麗枫酒店(北京房山丰源大厦城关地铁站店),希尔顿,1
北京,3,麗枫酒店(北京酒仙桥朝阳高铁站店),"汉庭,汉庭优佳","2,1"
北京,3,时光漫步怀旧主题酒店(北京三里屯地坛国展中心店),"如家,汉庭,桔子酒店,桔子,汉庭酒店,锦江之星","5,4,1,1,1,1"
北京,5,北京万达文华酒店,"如家,丽晶","2,1"
北京,4,桔子酒店(北京亦庄桥地铁站店),"如家,亚朵,旅居","1,1,1"
北京,2,艾瑞酒店(北京华北电力大学店),"格林豪泰,如家,速8","1,1,1"
北京,3,全季酒店(北京建国门白桥大街店),"如家,桔子,锦江之星,旅居","2,1,1,1"
北京,3,北京和平里宾馆,"7天,如家,安贞,7天连锁酒店,7天连锁,庭院式,汉庭","4,2,1,1,1,1,1"
北京,4,北京天安门广场CitiGO欢阁酒店,"格雅,全季,全季酒店","10,2,1"
北京,4,北京MEETOUR遇酒店,"汉庭,格雅,如家,全季","2,1,1,1"
北京,4,北京大方饭店,"全季,全季酒店,白玉兰,如家,7天,汉庭酒店,汉庭,白玉兰酒店","8,4,2,2,1,1,1,1"
北京,5,北京富力万达嘉华酒店,"希尔顿,如家","4,1"
北京,3,麗枫酒店(北京南站木樨园地铁站店),"桔子,希尔顿,旅居,桔子水晶","2,1,1,1"
北京,3,喆啡酒店(北京东坝首都机场第二高速路店),"如家,汉庭","1,1"
北京,2,橙子优选酒店(北京良乡大学城店),,
北京,5,北京中奥马哥孛罗大酒店,"7天,桔子","1,1"
北京,2,北京鑫港主题酒店,7天,1
北京,2,北京A+麒寓酒店,"如家,速8,7天","3,1,1"
北京,3,麗枫酒店(北京亦庄开发区京东总部店),,
北京,2,格林豪泰联盟酒店(北京西站站前北广场中心瑞海大厦店),"汉庭,7天,如家,格林豪泰酒店,汉庭酒店,速8","6,3,3,3,1,1"
北京,5,北京索菲特大酒店,"如家,华彬费尔蒙,IU,全季,汉庭,桔子水晶,桔子,格雅","3,1,1,1,1,1,1,1"
北京,5,北京裕龙国际酒店,"希尔顿,旅居,如家","2,1,1"
北京,3,喆啡酒店(北京大兴旧宫地铁站店),,
北京,3,桔子酒店(北京广安门店),"桔子水晶,汉庭,亚朵,如家,秋果,7天","3,2,1,1,1,1"
北京,5,北京花间堂·后海酒店,"桔子,汉庭,桔子水晶,庭院式,安贞,桔子酒店,希尔顿,7天","4,3,2,2,1,1,1,1"
北京,3,如家睿柏·云酒店(北京南站洋桥店),汉庭,1
北京,5,北京银保建国酒店,"7天,汉庭","1,1"
北京,3,喆啡酒店(北京小红门地铁站店),,
北京,2,派酒店(北京牡丹园龙翔路北大第三医院店),"7天,汉庭,速8,如家,锦江之星","1,1,1,1,1"
北京,5,北京汇园酒店公寓(贵宾楼),"全季,亚朵,如家,汉庭,希尔顿","1,1,1,1,1"
北京,5,北京东方安颐国际酒店,,
北京,5,北京励骏酒店,"丽晶,王府半岛,希尔顿,庭院式,如家,汉庭,品尚,丽亭,7天,如家酒店,瑰丽,泛太平洋,秋果","41,5,5,3,2,1,1,1,1,1,1,1,1"
北京,3,麗枫酒店(北京南站洋桥店),"庭院式,7天,如家,亚朵,汉庭","3,2,2,1,1"
北京,3,北京瑞洁宾舍酒店,"锦江之星,希岸酒店,希岸,如家","1,1,1,1"
北京,2,如家酒店·neo(北京朝阳公园朝阳火车站店),"汉庭,如家精选,智选,全季,亚朵,锦江之星","3,2,1,1,1,1"
北京,4,秋果酒店(北京三元桥燕莎店),"亚朵,希尔顿,全季,7天,如家,和颐,速8,和颐酒店,桔子,花筑,麗枫,全季酒店","7,4,3,2,2,2,1,1,1,1,1,1"
北京,5,北京乾元酒店,"全季,旅居,希尔顿,瑰丽","2,1,1,1"
北京,2,7天连锁酒店(北京上地西三旗桥西店),"桔子酒店,桔子,格林豪泰","1,1,1"
北京,3,喆啡酒店(北京昌平东关地铁大学城店),"全季,和颐,亚朵,桔子","2,1,1,1"
北京,3,麗枫酒店(北京工业大学店),,
北京,2,速8精选酒店(北京天安门前门西河沿店),,
北京,3,北京世纪黄山酒店,如家,1
北京,5,北京铂斯雅致酒店,"全季,如家精选,如家,希尔顿欢朋,希尔顿,欢朋,汉庭","2,1,1,1,1,1,1"
北京,4,北京锡华商务酒店,"和颐,旅居,锦江之星,汉庭","2,1,1,1"
北京,2,色彩酒店(北京国展二店),,
北京,3,雅悦精致酒店(北京官园桥金融街店),"桔子,桔子酒店,如家,雅悦酒店,7天,全季,旅居,汉庭","7,4,3,1,1,1,1,1"
北京,2,速8酒店(北京南沙窝桥302医院店),"汉庭,汉庭酒店,7天,如家","13,4,2,1"
北京,5,北京中航泊悦酒店,,
北京,4,汉普顿国际酒店(北京首都机场店),全季,1
北京,3,美朋·轻奢酒店(北京石榴庄店),7天,1
北京,2,速8酒店(北京方庄地铁站店),"如家,海友,汉庭,海友酒店","2,2,1,1"
北京,4,北京实茂花园酒店,"总部基地,如家","4,1"
北京,2,北京巴比伦宾馆,"如家,汉庭","2,1"
北京,3,飘HOME连锁酒店(北京天安门前门大栅栏店),"如家,汉庭,喆啡,速8,喆啡酒店,宜必思,锦江之星","3,3,2,2,1,1,1"
北京,3,麗枫酒店(北京大兴新城地铁站店),,
