名称	入住日期	出行目的	评分	评论文本	shortTexts	score	shortTexts-negative	score-negative
速8酒店(北京方庄地铁站店)	2021/6/1	家庭亲子	5	房间空间挺大，多次入住  离肿瘤医院很近  周围有超市饭店   院子里有停车场，楼下有大排档烧烤	"['院子里有停车场', '楼下有大排档烧烤', '周围有超市饭店', '多次入住', '离肿瘤医院很近', '房间空间挺大']"	"[0.0609838, 0.331787, 0.253477, 0.000606136, 0.0125514, 0.00257578]"	[]	[]
速8酒店(北京方庄地铁站店)	2021/8/1	商务出差	5	酒店在一个大院里，距离地铁站也近，前台服务员态度和蔼可亲，交通方便周围吃饭和购物方便，美食一条街有很多老字号的饭店，离肿瘤医院，天安门广场，天坛公园非常的近。酒店房间非常的干净，经济的房间小点毕竟价格低，带窗户的房间还是很大的，空调是新换的制冷效果非常的不错，房间有免费的矿泉水，设施齐全没有异味，而且最主要是三楼的床垫睡着特别特别的舒服，住着心情舒畅。价格还优惠，性价比高，下回过来还会光顾  强烈推荐入住??服务：??环境：??卫生：?? 交通：	"['酒店房间非常的干净', '带窗户的房间还是很大的', '交通', '天坛公园非常的近', '房间有免费的矿泉水', '价格还优惠', '经济的房间小点毕竟价格低', '性价比高', '酒店在一个大院里', '空调是新换的制冷效果非常的不错', '美食一条街有很多老字号的饭店', '离肿瘤医院', '\U0001f9f9卫生', '??环境', '住着心情舒畅', '天安门广场', '距离地铁站也近', '强烈推荐入住??服务', '而且最主要是三楼的床垫睡着特别特别的舒服', '下回过来还会光顾', '前台服务员态度和蔼可亲', '设施齐全没有异味', '交通方便周围吃饭和购物方便']"	"[6.10637e-05, 0.0218722, 0.0258796, 0.000724366, 0.00655971, 0.0449427, 0.0648103, 0.000115398, 0.074755, 0.000249963, 0.0088655, 0.560941, 0.152477, 0.0991694, 0.0040586, 0.00329911, 0.00402548, 0.000893622, 0.0014535, 0.00013255, 0.163425, 0.00143897, 0.0112301]"	['离肿瘤医院']	[0.560941]
速8酒店(北京方庄地铁站店)	2021/9/1	其他	5	离肿瘤医院比较近，酒店的位置好找，有地铁14号线方庄下车附近有公交车，交通都方便，酒店有免费停车场车位充足，旁边有药房物美超市，大堂很敞亮  前台很热情   高级双床房间要比二楼的房间大，床也特别的舒服，还给配备免费的矿泉水，卫生干净整洁住着比较放心，最主要是比周围的性价比高，下次来北京首选这家酒店，强烈推荐	"['酒店的位置好找', '酒店有免费停车场车位充足', '高级双床房间要比二楼的房间大', '最主要是比周围的性价比高', '有地铁14号线方庄下车附近有公交车', '大堂很敞亮', '离肿瘤医院比较近', '床也特别的舒服', '交通都方便', '前台很热情', '还给配备免费的矿泉水', '旁边有药房物美超市', '强烈推荐', '下次来北京首选这家酒店', '卫生干净整洁住着比较放心']"	"[0.00165126, 0.000853732, 0.0607082, 0.000336444, 0.0147533, 0.00464659, 0.130288, 0.000159621, 0.00304171, 0.0119571, 0.00187727, 0.479421, 9.91388e-05, 3.8029e-05, 0.00469612]"	[]	[]
速8酒店(北京方庄地铁站店)	2021/6/1	情侣出游	4.7	很好，来过两次这次来得晚了，给升了个高级，房间还挺干净，空间大，床垫非常软，枕头有棉的和棉加荞麦皮的，挺好，前台姐姐很亲切，设备老了些，老酒店了，下楼看见了很有意思得装修，哈哈	"['很好', '挺好', '老酒店了', '设备老了些', '空间大', '房间还挺干净', '下楼看见了很有意思得装修', '给升了个高级', '哈哈', '床垫非常软', '前台姐姐很亲切', '来过两次这次来得晚了', '枕头有棉的和棉加荞麦皮的']"	"[0.000129439, 0.00122581, 0.0418863, 0.997579, 0.000215014, 0.141228, 0.033813, 0.349141, 0.000216611, 0.200131, 0.00235527, 0.00132292, 0.317132]"	['设备老了些']	[0.997579]
速8酒店(北京方庄地铁站店)	2021/6/1	朋友出游	5	酒店地理位置很方便，离地铁站很近，附近还有超市，屋里环境好，还给配备了免费的矿泉水，卫生干净整洁，前台服务态度非常好，院内还有免费的停车场，酒店消毒做的比较好，住着比较放心，性价比高，下次还会光临。	"['酒店消毒做的比较好', '附近还有超市', '院内还有免费的停车场', '性价比高', '离地铁站很近', '住着比较放心', '还给配备了免费的矿泉水', '酒店地理位置很方便', '屋里环境好', '下次还会光临', '前台服务态度非常好', '卫生干净整洁']"	"[0.0419719, 0.186852, 0.0156058, 0.000115398, 0.00515044, 0.00391043, 0.00338578, 0.000240903, 0.018661, 0.00010618, 0.0150214, 0.0135591]"	[]	[]
速8酒店(北京方庄地铁站店)	2021/6/1	朋友出游	5	推荐入住！！ 地理位置距离方庄地铁站5分钟左右路程，出行很方便~ 房型由经济升了标准，提前打电话留了带外窗的房间，住宿环境很棒，结合价格性价比超高。 一定要表扬前台小哥哥，态度非常棒，人很热心?? 以后来北京一定会考虑再来这家店的！	"['住宿环境很棒', '出行很方便', '推荐入住', '人很热心??', '态度非常棒', '提前打电话留了带外窗的房间', '房型由经济升了标准', '一定要表扬前台小哥哥', '以后来北京一定会考虑再来这家店的', '结合价格性价比超高', '地理位置距离方庄地铁站5分钟左右路程']"	"[0.000355859, 0.00033263, 0.00060418, 0.000989612, 0.00130152, 0.0183179, 0.53036, 0.0503694, 0.000121669, 0.000174474, 0.0601895]"	['房型由经济升了标准']	[0.53036]
速8酒店(北京方庄地铁站店)	2021/7/1	其他	4.5	入住这家酒店，最让人感到幸运的是酒店的前台接待人员，素质都很高，尤其是叫刘欢的工作人员，特别友好和善，会耐心的给顾客调换房间，没有一丝一毫的怠慢，非常周到的给每个人服务，很有能力。有时在大厅里等家人的时候会和他们聊天，真是疏解了很多看病的紧张情绪，让人感觉很舒心。酒店位置离肿瘤医院很近，高级标准间和大床房间环境不错。周边吃饭的地方推荐刘家大院农家菜，干净实惠口味好。	"['最让人感到幸运的是酒店的前台接待人员', '让人感觉很舒心', '很有能力', '入住这家酒店', '素质都很高', '会耐心的给顾客调换房间', '尤其是叫刘欢的工作人员', '有时在大厅里等家人的时候会和他们聊天', '非常周到的给每个人服务', '酒店位置离肿瘤医院很近', '周边吃饭的地方推荐刘家大院农家菜', '特别友好和善', '真是疏解了很多看病的紧张情绪', '高级标准间和大床房间环境不错', '没有一丝一毫的怠慢', '干净实惠口味好']"	"[0.00837427, 0.000218477, 0.000327323, 0.00163186, 0.000592575, 0.0268408, 0.577184, 0.0149279, 0.000787553, 0.00204885, 0.341549, 0.00011973, 0.430987, 0.00509791, 0.387227, 0.000409525]"	['尤其是叫刘欢的工作人员']	[0.577184]
速8酒店(北京方庄地铁站店)	2021/5/1	商务出差	5	房间很干净设施挺好，环境卫生和服务也很好，离地铁口很近   门口有饭店经济实惠，值得推荐	"['离地铁口很近', '房间很干净设施挺好', '环境卫生和服务也很好', '值得推荐', '门口有饭店经济实惠']"	"[0.00383876, 0.00193393, 0.00137073, 0.000139595, 0.0736764]"	[]	[]
速8酒店(北京方庄地铁站店)	2021/6/1	情侣出游	5	【家庭主题房】环境很好，交通也方便，卫生好 ，服务也好，总之哪里都好，希望改进的就是隔音不太好，希望继续努力	"['服务也好', '卫生好', '总之哪里都好', '交通也方便', '希望继续努力', '希望改进的就是隔音不太好', '【家庭主题房】环境很好']"	"[0.0025242, 0.0207936, 0.00863311, 0.00121551, 0.13036, 0.903663, 0.00357101]"	['希望改进的就是隔音不太好']	[0.903663]
速8酒店(北京方庄地铁站店)	2021/4/1	独自旅行	5	昨天到北京就有些晚了，给前台小哥打电话，说第二天我可能会晚点才能退房，小哥服务特周到贴心，把退房时间推迟到两点之前，所以为小哥的服务点个赞，房间干净卫生，价格也很亲民，还有免费的停车场，所以要赞一个	"['所以为小哥的服务点个赞', '小哥服务特周到贴心', '把退房时间推迟到两点之前', '所以要赞一个', '给前台小哥打电话', '房间干净卫生', '昨天到北京就有些晚了', '说第二天我可能会晚点才能退房', '还有免费的停车场', '价格也很亲民']"	"[0.00293031, 0.0038473, 0.995286, 0.000109629, 0.452819, 0.00909293, 0.0276529, 0.994133, 0.011851, 0.000203094]"	"['把退房时间推迟到两点之前', '说第二天我可能会晚点才能退房']"	"[0.995286, 0.994133]"
